q_number,unit_no,section_type,marks,k_level,co_level,question_text,formula_latex
1,1,Part A,2,K1,CO1,"Define Python identifier and list two naming rules for valid variable names.",""
2,1,Part A,2,K2,CO1,"Differentiate between mutable and immutable data types in Python with suitable examples.",""
3,1,Part B,13,K3,CO1,"Explain the various arithmetic and logical operators in Python. Evaluate the expression $y = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a}$ by writing a complete Python script to find quadratic roots.","y = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a}"
4,1,Part B,13,K3,CO1,"Illustrate the memory model and variable referencing mechanism in Python with a memory allocation block diagram.",""
5,1,Part B,13,K4,CO1,"Analyze the execution flow of ternary conditional statement and chained comparison operators: $10 \le x < 50$. Compare with traditional if-else blocks.","10 \le x < 50"
6,1,Part C,15,K5,CO1,"Design an interactive numerical calculator in Python that computes standard statistical formulas including Mean $\bar{X} = \frac{1}{N}\sum_{i=1}^N x_i$ and Standard Deviation $\sigma = \sqrt{\frac{\sum(x_i - \bar{x})^2}{N}}$. Include error handling for zero division.","\sigma = \sqrt{\frac{\sum(x_i - \bar{x})^2}{N}}"
7,2,Part A,2,K1,CO2,"State the syntax of Python while loop and explain the purpose of the else clause in loops.",""
8,2,Part A,2,K2,CO2,"Contrast the break statement with the continue statement using brief loop flow sketches.",""
9,2,Part B,13,K3,CO2,"Write a Python program to generate Fibonacci series up to $N$ terms using both iteration and recursion. Formulate the recurrence relation $F_n = F_{n-1} + F_{n-2}$ where $F_0=0, F_1=1$.","F_n = F_{n-1} + F_{n-2}"
10,2,Part B,13,K4,CO2,"Construct nested loop algorithms to print Pascal's triangle and evaluate binomial coefficients given by $\binom{n}{k} = \frac{n!}{k!(n-k)!}$.","\binom{n}{k} = \frac{n!}{k!(n-k)!}"
11,2,Part B,13,K3,CO2,"Develop a Python program that checks whether a given positive integer $n$ is prime by verifying divisibility up to $\sqrt{n}$. Calculate the time complexity.","2 \le d \le \sqrt{n}"
12,2,Part C,15,K6,CO2,"Create an automated grading and attendance tracker system for 60 students that implements multidimensional nested conditional decisions and produces formatted tabular output.",""
13,3,Part A,2,K1,CO3,"What is a lambda (anonymous) function in Python? Provide a one-line example.",""
14,3,Part A,2,K2,CO3,"Explain default arguments and variable-length arguments (*args, **kwargs) in Python functions.",""
15,3,Part B,13,K3,CO3,"Discuss the LEGB (Local, Enclosing, Global, Built-in) scope resolution hierarchy in Python with comprehensive code examples and diagrams.",""
16,3,Part B,13,K4,CO3,"Demonstrate the use of higher-order functions: map(), filter(), and reduce(). Write a program to compute matrix multiplication $C_{ij} = \sum_{k=1}^m A_{ik} B_{kj}$ using list comprehensions.","C_{ij} = \sum_{k=1}^m A_{ik} B_{kj}"
17,3,Part B,13,K3,CO3,"Explain Python generators, the yield keyword, and memory efficiency when processing infinite series $\sum_{n=1}^\infty \frac{1}{n^2} = \frac{\pi^2}{6}$.","\sum_{n=1}^\infty \frac{1}{n^2} = \frac{\pi^2}{6}"
18,3,Part C,15,K5,CO3,"Evaluate the execution time differences between recursive algorithms, memoization decorators, and iterative dynamic programming solutions for the $0/1$ Knapsack problem.",""
19,4,Part A,2,K1,CO4,"List four built-in list methods in Python and their time complexities.",""
20,4,Part A,2,K2,CO4,"Describe dictionary hashing collision handling and key lookup properties in Python 3.",""
21,4,Part B,13,K3,CO4,"Elaborate on string slicing, indexing, and regular expressions. Write a Python script to parse email addresses and URL patterns from unstructured text.",""
22,4,Part B,13,K4,CO4,"Compare List, Tuple, Set, and Dictionary data structures on insertion, deletion, lookup time, and mutability. Provide summary comparison table.",""
23,4,Part B,13,K3,CO4,"Write a Python program to perform set operations: Union $(A \cup B)$, Intersection $(A \cap B)$, Difference $(A \setminus B)$, and Symmetric Difference $(A \Delta B)$.","A \Delta B = (A \setminus B) \cup (B \setminus A)"
24,4,Part C,15,K6,CO4,"Design a complete inverted index and TF-IDF calculation engine using Python dictionaries and sets. Formula: $\text{TF-IDF}(t, d, D) = \text{TF}(t, d) \times \log\left(\frac{|D|}{1 + |\{d \in D : t \in d\}|}\right)$.","\text{TF-IDF}"
25,5,Part A,2,K1,CO5,"Define Class, Object, and Encapsulation in Python Object-Oriented Programming.",""
26,5,Part A,2,K2,CO5,"Explain try-except-finally blocks and how custom exceptions are raised in Python.",""
27,5,Part B,13,K3,CO5,"Demonstrate Multiple Inheritance and the Method Resolution Order (MRO) using the C3 Linearization algorithm in Python.",""
28,5,Part B,13,K4,CO5,"Explain file handling operations in Python: reading, writing, seeking, and pickling objects with JSON and pickle modules.",""
29,5,Part B,13,K4,CO5,"Implement Operator Overloading in Python for complex numbers $z = a + bi$ by overloading `__add__`, `__sub__`, and `__mul__` special magic methods: $z_1 \cdot z_2 = (a_1 a_2 - b_1 b_2) + (a_1 b_2 + a_2 b_1)i$.","z_1 \cdot z_2"
30,5,Part C,15,K6,CO5,"Develop a complete Object-Oriented Examination Management System with classes for Student, Course, Question, and QuestionPaper supporting file persistence and custom exception handling.",""
